,,Suaves colombianos (arábigo),,,Otros suaves (arábigo),,,Naturales del Brasil (arábigo),,,Robustas,,,
Mes,Precio del indicador compuesto OIC,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,Nueva York,Europa,Promedio ponderado,
may-09,"123,05","225,58","201,00","212,05","147,34","153,55","150,99","113,13","120,08","118,40","77,00","75,20","75,62",
jun-09,"119,05","195,27","197,14","196,32","145,17","153,14","149,79","109,81","117,10","115,42","75,88","73,16","73,79",
jul-09,"112,90","192,11","183,71","187,29","137,87","143,14","140,90","104,55","108,79","107,80","74,83","71,09","71,68",
ago-09,"117,45","181,61","188,36","185,39","146,87","151,86","149,76","114,01","117,71","116,86","75,04","71,76","72,35",
sept-09,"116,40","169,90","183,39","177,45","145,67","150,74","148,53","114,12","116,82","116,16","77,31","73,04","73,82",
oct-09,"121,09","175,16","180,55","178,13","151,95","156,32","154,57","122,84","125,16","124,62","76,68","72,86","73,51",
nov-09,"119,67","180,08","176,48","178,33","150,23","153,60","152,21","126,21","126,11","126,17","73,08","68,86","69,48",
dic-09,"124,96","199,38","184,67","192,11","155,86","160,09","158,16","131,23","133,68","132,84","74,68","68,86","69,89",
ene-10,"126,85","214,55","201,65","207,51","154,40","161,92","158,90","128,11","132,75","131,67","75,09","69,05","70,08",
feb-10,"123,37","208,03","201,89","204,71","156,02","159,00","157,86","121,64","125,42","124,57","73,53","66,74","67,88",
mar-10,"125,30","206,37","205,17","205,71","162,13","166,09","164,50","125,28","126,49","126,21","75,53","66,16","67,25",
abr-10,"126,89","195,18","203,50","199,50","171,32","167,95","169,24","124,94","126,04","125,71","76,26","70,55","71,52",
may-10,"128,10","197,76","202,39","200,33","174,21","172,72","173,28","121,66","129,19","127,32","76,21","69,49","70,61",
jun-10,"142,20","229,06","220,75","224,49","193,52","189,16","190,90","136,18","145,29","143,20","82,51","75,78","76,92",
jul-10,"153,41","230,88","239,33","235,52","205,25","201,94","203,21","146,74","159,92","156,87","89,95","84,28","85,27",
ago-10,"157,46","241,77","245,79","243,98","212,80","210,78","211,59","152,91","166,28","163,21","89,06","81,38","82,68",
sept-10,"163,61","239,26","254,34","247,77","222,10","223,09","222,71","162,02","179,06","175,15","87,11","80,16","81,28",
oct-10,"172,57","236,50","243,75","240,49","228,25","230,80","229,78","175,50","190,66","187,18","99,38","94,12","95,01",
nov-10,"173,90","239,59","247,86","244,02","227,96","237,29","233,48","179,16","194,16","190,62","97,94","90,79","92,04",
dic-10,"184,26","256,52","258,50","261,97","237,33","250,75","248,17","186,05","207,74","204,25","98,32","92,97","94,09",   
ene-11,"197,35","280,05","279,34","279,88","262,94","264,36","263,77","209,26","222,92","219,77","106,03","100,07","101,09",
feb-11,"216,03","289,49","301,88","296,44","288,08","287,31","287,89","237,43","249,67","247,00","114,62","108,22","109,35",
mar-11,"224,33","300,93","300,46","300,68","294,48","290,46","292,07","257,24","262,17","260,98","122,46","117,31","118,13",
abr-11,"231,24","314,26","311,45","312,95","303,59","297,22","300,12","271,39","273,43","273,40","121,55","116,62","117,37",
may-11,"227,97","301,48","303,16","302,17","293,06","290,11","291,09","266,02","269,63","268,66","126,30","121,14","121,98",
jun-11,"215,58","290,19","285,68","287,95","277,78","272,32","274,98","247,19","250,89","250,59","122,15","117,01","117,95",
jul-11,"210,36","286,46","283,74","285,21","269,18","266,87","268,02","242,66","246,48","245,69","116,58","111,91","112,73",
ago-11,"212,19","288,43","285,72","286,97","273,54","268,37","270,44","251,78","249,22","249,83","119,00","110,75","112,07",
sept-11,"213,04","283,51","289,86","287,54","274,38","274,40","274,88","251,70","256,57","255,64","113,47","104,63","106,06",
oct-11,"193,90","256,86","258,34","257,66","248,49","247,38","247,82","230,62","235,44","234,28","107,34","96,34","98,10",
nov-11,"193,66","259,74","254,51","256,99","249,50","241,98","245,09","233,13","237,82","236,75","108,18","95,13","97,24",
dic-11,"189,02","254,41","249,88","251,60","243,40","233,76","236,71","225,59","230,44","228,79","114,23","95,81","98,41",
ene-12,"188,90","258,70","253,68","255,91","239,43","235,66","237,21","222,41","230,02","228,21","109,40","94,32","96,72",
feb-12,"182,29","248,09","241,07","244,14","225,49","223,50","224,16","211,95","216,58","215,40","111,25","100,21","101,93",
mar-12,"167,77","224,69","221,25","222,84","201,85","200,86","201,26","188,15","193,26","192,03","113,60","101,66","103,57",
abr-12,"160,46","215,85","213,18","214,46","193,35","190,06","191,45","177,20","182,10","180,90","111,71","99,94","101,80",
may-12,"157,83","208,08","206,62","207,71","186,67","183,04","184,97","170,75","175,03","174,53","115,77","105,10","106,64",
jun-12,"145,31","184,45","184,85","184,67","169,79","167,96","168,69","151,55","157,64","156,17","113,34","104,24","105,70",
jul-12,"159,18","203,75","202,22","202,91","191,29","190,70","190,91","172,13","177,72","176,38","112,90","105,41","106,60",
ago-12,"148,50","189,27","185,32","187,14","175,97","174,07","174,82","158,75","160,46","160,05","113,01","105,28","106,52",
sept-12,"151,28","191,54","189,02","190,10","179,60","178,79","178,98","162,59","167,87","166,53","110,87","103,83","104,95",
oct-12,"147,12","182,73","180,36","181,39","172,37","174,06","173,32","155,77","162,96","161,20","109,89","103,45","104,47",
nov-12,"136,35","172,55","167,99","170,08","160,64","159,49","159,91","146,35","148,87","148,25","102,94","96,72","97,67",
dic-12,"131,31","167,67","160,75","164,40","154,65","150,92","152,74","138,80","141,07","140,69","102,26","95,39","96,59",
ene-13,"135,38","170,64","167,76","169,19","158,27","156,47","157,29","139,36","146,94","145,17","105,79","98,52","99,69",
feb-13,"131,51","164,74","159,20","161,70","153,00","147,23","149,46","133,37","137,72","136,63","109,70","102,97","104,03",
mar-13,"131,38","163,46","159,89","161,53","152,96","147,67","149,78","129,74","134,83","133,61","112,47","105,08","106,26",
abr-13,"129,55","164,52","159,17","161,76","152,96","147,58","149,81","130,11","133,27","132,62","107,58","100,53","101,68",
may-13,"126,96","161,14","155,99","158,35","151,43","144,17","147,19","129,82","130,11","130,29","105,76","97,81","99,18",
jun-13,"117,58","148,56","146,70","147,55","138,86","137,86","138,26","116,91","120,98","120,01","97,05","89,59","90,79",
jul-13,"118,93","147,70","147,36","147,46","138,44","138,45","138,39","114,89","120,94","119,47","102,41","93,89","95,21",
ago-13,"116,45","142,47","143,94","143,26","135,63","134,84","135,15","111,97","118,34","116,81","100,73","92,73","94,01",
